"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
40	18	12	10	10	55	38	03		-130	-473																																												128	387																																												164	249																																												-30	-44																																												182	611																																												314,60	309,30																																												4932	-4801	-413	4819	265,10	58,26281665	11,37133333	58,26273333	11,36986666
41	18	12	10	10	55	58	04																																																																																																																																																																																																																																																																																5089	-4566	-1891	4942	247,50	58,26271665	11,36971663	58,26238330	11,36831668
42	18	12	10	10	56	18	05																																																																																																																																																																																																																																																																																5041	-4620	-2028	5046	246,30	58,26235003	11,36814997	58,26201668	11,36673334
43	18	12	10	10	56	38	06																																																																																																																																																																																																																																																																																4994	-4638	-1719	4946	249,70	58,26198332	11,36656671	58,26171669	11,36515000
44	18	12	10	10	56	58	07		53																																													14																																													35																																													5																																													55																																													75,20																																													5134	-4765	-1753	5077	249,80	58,26168333	11,36498337	58,26140002	11,36353330
45	18	12	10	10	57	18	08		53	46																																												-9	-27																																												-235	-192																																												39	-20																																												54	53																																												99,60	120,40																																												5220	-4873	-1650	5145	251,30	58,26136666	11,36338335	58,26110004	11,36186664
46	18	12	10	10	57	38	09		13	26																																												-98	-90																																												-634	-588																																												155	115																																												99	94																																												172,40	163,90																																												4959	-4789	-1779	5109	249,60	58,26106668	11,36170001	58,26081664	11,36039997
47	18	12	10	10	57	56	08		-135	-170																																												163	155																																												-345	-318																																												4	0																																												212	230																																												320,40	312,40																																												5053	-4548	-2166	5037	244,50	58,26078337	11,36025002	58,26043334	11,35884999
48	18	12	10	10	58	17	03		-499	-506	-515																																											560	537	579																																											-110	-72	-44																																											-243	-284	-235																																											750	738	775																																											318,30	316,70	318,30																																											4981	-4382	-2243	4923	242,90	58,26038330	11,35871664	58,26003335	11,35736665
49	18	12	10	10	58	37	07		-400	-360																																												246	211																																												274	330																																												-180	-152																																												470	417																																												301,60	300,40																																												5262	-4403	-2475	5051	240,70	58,25999999	11,35721670	58,25954997	11,35571667
50	18	12	10	10	58	58	02		-14	-66																																												55	99																																												19	82																																												23	-14																																												57	119																																												345,70	326,30																																												5311	-4349	-3059	5317	234,90	58,25950001	11,35556663	58,25900003	11,35423332
51	18	12	10	10	59	18	03		-19	-8																																												-102	-95																																												-68	-13																																												9	-1																																												104	95																																												190,60	184,80																																												5407	-4349	-3129	5357	234,30	58,25894999	11,35408337	58,25843333	11,35274998
52	18	12	10	10	59	38	04		178	194																																												-73	-54																																												-177	-117																																												-9	4																																												192	201																																												112,30	105,60																																												5390	-4167	-3334	5337	231,30	58,25838329	11,35261671	58,25783336	11,35133335
53	18	12	10	10	59	58	05		76	86																																												-23	-13																																												-130	-108																																												-15	30																																												79	87																																												106,80	98,60																																												5400	-4199	-3171	5262	232,90	58,25778332	11,35118332	58,25731670	11,35005000
54	18	12	10	11	00	16	08		95	140	25																																											-64	-56	37																																											-157	-97	-73																																											32	20	4																																											115	151	45																																											124,00	111,80	34,00																																											5369	-4131	-3369	5331	230,80	58,25724998	11,34991664	58,25671664	11,34863338
55	18	12	10	11	00	37	03		-122	-245	-454																																											61	231	330																																											439	602	634																																											-39	-51	-2																																											136	337	561																																											296,60	313,30	306,00																																											5283	-4186	-3162	5246	232,90	58,25665000	11,34850002	58,25608330	11,34705003
56	18	12	10	11	00	58	06		68	-21																																												-22	91																																												-46	-9																																												-20	117																																												71	93																																												107,90	347,00																																												5469	-4458	-2991	5368	236,10	58,25603334	11,34690000	58,25555004	11,34553333
57	18	12	10	11	01	18	07		-768	-776																																												-9	23																																												245	292																																												674	677																																												768	776																																												269,30	271,70																																												5596	-4403	-3369	5544	232,60	58,25548332	11,34538329	58,25494998	11,34403330
58	18	12	10	11	01	39	03		-27	-8	97																																											38	19	-82																																											-7	40	38																																											-26	-50	-69																																											47	21	127																																											324,60	337,20	130,20																																											5403	-4363	-3094	5349	234,70	58,25490003	11,34390003	58,25439996	11,34255004
59	18	12	10	11	01	58	08		-7	0	-19																																											-58	-100	-57																																											-1	57	55																																											20	24	25																																											58	100	60																																											186,90	180,00	198,40																																											5510	-4465	-2978	5367	236,30	58,25435000	11,34240001	58,25385002	11,34103334
60	18	12	10	11	02	18	03		-121	-192																																												260	284																																												-294	-204																																												-28	32																																												287	343																																												335,00	325,90																																												4921	-3996	-2824	4893	234,80	58,25379998	11,34088330	58,25338332	11,33980002
61	18	12	10	11	02	37	03		0	49																																												34	-18																																												-107	-82																																												9	-15																																												34	52																																												0,00	110,20																																												3308	-2791	-2132	3512	232,60	58,25333336	11,33970003	58,25296666	11,33875002
62	18	12	10	11	02	58	03		-90	-20																																												76	-6																																												112	146																																												-46	-12																																												118	21																																												310,20	253,30																																												2582	-2243	-1315	2600	239,60	58,25294998	11,33866671	58,25274998	11,33806664
63	18	12	10	11	03	17	00		-266	-141																																												54	-16																																												-44	-12																																												21	8																																												271	142																																												281,50	263,50																																												2042	-1667	-1169	2036	235,00	58,25273330	11,33800001	58,25253331	11,33750003
64	18	12	10	11	03	37	05		-66	20																																												151	14																																												-127	-59																																												36	28																																												165	24																																												336,40	55,00																																												1821	-1359	-1169	1793	229,30	58,25251663	11,33744999	58,25231664	11,33703332
65	18	12	10	11	03	57	06		-135	57																																												103	14																																												29	28																																												53	15																																												170	59																																												307,30	76,20																																												1828	-1523	-997	1820	236,80	58,25229996	11,33698337	58,25209997	11,33646671
66	18	12	10	11	04	18	05		11	65																																												-25	-52																																												-49	-24																																												8	-11																																												27	83																																												156,30	128,70																																												1437	-1264	-890	1546	234,90	58,25208337	11,33641667	58,25196669	11,33608332
67	18	12	10	11	04	36	08		-43	78																																												-54	-86																																												-85	-75																																												33	24																																												69	116																																												218,50	137,80																																												1339	-1070	-756	1310	234,70	58,25195001	11,33603336	58,25183334	11,33571669
68	18	12	10	11	04	56	09		-182	-35																																												58	44																																												-111	-14																																												10	-14																																												191	56																																												287,70	321,50																																												1366	-1251	-791	1480	237,70	58,25181666	11,33568333	58,25169998	11,33528335
69	18	12	10	11	05	17	00		-132	43																																												-36	-27																																												31	-25																																												80	33																																												137	51																																												254,70	122,10																																												1096	-834	-791	1149	226,50	58,25168330	11,33524999	58,25156663	11,33498336
70	18	12	10	11	05	37	01		-140	-70																																												5	23																																												-55	-22																																												-15	-23																																												140	74																																												272,00	288,20																																												1152	-943	-619	1128	236,70	58,25156663	11,33496668	58,25145003	11,33466669
71	18	12	10	11	05	57	02		-36	55																																												-41	-42																																												-13	8																																												10	-6																																												55	69																																												221,30	127,40																																												1101	-1070	-481	1173	245,80	58,25143335	11,33463333	58,25136663	11,33429999
72	18	12	10	11	06	17	03		-213	-114																																												46	69																																												-81	-48																																												27	17																																												218	133																																												282,20	301,20																																												1037	-960	-137	970	261,90	58,25136663	11,33428331	58,25133336	11,33396664
73	18	12	10	11	06	37	04		-51	17																																												-30	7																																												-42	-38																																												16	27																																												59	18																																												239,50	67,60																																												966	-961	-172	976	259,90	58,25131668	11,33391668	58,25130000	11,33363337
74	18	12	10	11	06	57	05		-70	62																																												-84	-34																																												-11	27																																												-6	9																																												109	71																																												219,80	118,70																																												759	-852	0	852	270,00	58,25130000	11,33358333	58,25130000	11,33333330
75	18	12	10	11	07	17	07		19	-8																																												20	139																																												-32	-99																																												-16	16																																												28	139																																												43,50	356,70																																												700	-616	-206	650	251,50	58,25130000	11,33331670	58,25126664	11,33310003
76	18	12	10	11	07	37	08		24	90																																												7	14																																												6	13																																												-15	9																																												25	91																																												73,70	81,20																																												562	-489	-413	640	229,90	58,25125004	11,33308335	58,25120000	11,33293332
77	18	12	10	11	07	57	09		34	95																																												-52	-6																																												-15	-4																																												9	-4																																												62	95																																												146,80	93,60																																												486	-380	-275	469	234,10	58,25120000	11,33291664	58,25114996	11,33279996
78	18	12	10	11	08	18	00		-15	57																																												24	29																																												48	46																																												-25	-3																																												28	64																																												328,00	63,00																																												454	-308	-516	601	210,80	58,25113337	11,33278336	58,25106665	11,33269996
79	18	12	10	11	08	38	01		38	96																																												-14	-19																																												-32	-34																																												4	3																																												40	98																																												110,20	101,20																																												552	-73	-447	453	189,20	58,25104997	11,33271664	58,25098333	11,33266669
80	18	12	10	11	08	58	02		33	62																																												30	16																																												-41	-48																																												7	-18																																												45	64																																												47,70	75,50																																												557	-18	-585	585	181,80	58,25096665	11,33266669	58,25088333	11,33266669
81	18	12	10	11	09	18	03		-2	82																																												-1	-24																																												-16	-11																																												-7	9																																												2	85																																												243,40	106,30																																												590	-18	-619	619	181,70	58,25086665	11,33265001	58,25078334	11,33266669
82	18	12	10	11	09	38	05		-94	51																																												-180	-89																																												63	36																																												21	15																																												203	103																																												207,60	150,20																																												616	-272	-584	644	204,90	58,25076666	11,33265001	58,25068334	11,33258337
83	18	12	10	11	09	58	06		-14	56																																												1	-2																																												-36	-15																																												-1	-14																																												14	56																																												274,10	92,00																																												740	-761	-344	835	245,70	58,25068334	11,33256669	58,25061671	11,33233334
84	18	12	10	11	10	18	07		-16	70																																												-20	-73																																												-82	-59																																												-15	-3																																												26	101																																												218,70	136,20																																												714	-543	-275	609	243,20	58,25061671	11,33231666	58,25056667	11,33215003
85	18	12	10	11	10	38	08		6	79																																												55	35																																												83	75																																												-3	-28																																												55	86																																												6,20	66,10																																												678	-612	-425	745	235,20	58,25054999	11,33213335	58,25050003	11,33196663
86	18	12	10	11	10	57	01		49	78																																												-1	20																																												4	-19																																												-25	-52																																												49	81																																												91,20	75,60																																												645	-561	-275	625	243,90	58,25050003	11,33193335	58,25044999	11,33176664
87	18	12	10	11	11	17	02		36	115																																												-13	-23																																												-58	-62																																												-12	9																																												38	117																																												109,90	101,30																																												695	-544	-481	726	228,50	58,25043331	11,33174996	58,25036667	11,33158333
88	18	12	10	11	11	37	03		7	57																																												8	-13																																												-20	-19																																												25	20																																												11	58																																												41,20	102,80																																												676	-526	-310	610	239,50	58,25036667	11,33156665	58,25030004	11,33138333
89	18	12	10	11	11	57	08		42	138																																												29	-25																																												-23	-26																																												-2	1																																												51	140																																												55,40	100,30																																												581	-525	-412	668	231,90	58,25030004	11,33136665	58,25023332	11,33121670
90	18	12	10	11	12	18	03		7	64																																												54	32																																												51	44																																												4	29																																												54	72																																												7,40	63,40																																												614	-453	-378	590	230,10	58,25021664	11,33120002	58,25016668	11,33104999
91	18	12	10	11	12	38	04		-43	42																																												6	9																																												-79	-62																																												-30	-21																																												43	43																																												277,90	77,90																																												551	-489	-378	618	232,30	58,25015000	11,33103331	58,25009996	11,33088335
92	18	12	10	11	12	58	05		29	84																																												8	4																																												15	20																																												-9	4																																												30	84																																												74,60	87,30																																												473	-380	-241	450	237,70	58,25009996	11,33086667	58,25005000	11,33075000
93	18	12	10	11	13	18	06		10	60																																												81	53																																												-4	10																																												0	25																																												82	80																																												7,00	48,50																																												476	-217	-412	466	207,80	58,25005000	11,33075000	58,24998337	11,33068336
94	18	12	10	11	13	38	08		9	98																																												54	-77																																												-112	-67																																												75	-3																																												55	125																																												9,50	128,20																																												620	-72	-687	691	186,00	58,24996669	11,33068336	58,24986669	11,33066668
95	18	12	10	11	13	58	09		18	94																																												29	-2																																												-11	-9																																												18	3																																												34	94																																												31,80	91,20																																												544	-199	-516	553	201,10	58,24986669	11,33065000	58,24978329	11,33061664
96	18	12	10	11	14	19	00		36	99																																												-15	-58																																												-7	-1																																												-7	35																																												39	115																																												112,60	120,40																																												585	-428	-541	690	218,30	58,24976670	11,33059996	58,24969998	11,33048337
97	18	12	10	11	14	36	08		-8	80																																												37	-6																																												83	98																																												20	7																																												38	80																																												347,80	94,30																																												628	-526	-310	610	239,50	58,24969998	11,33046669	58,24965002	11,33029997
98	18	12	10	11	14	57	08		12	100																																												14	-64																																												-151	-142																																												-5	14																																												18	119																																												40,60	122,60																																												562	-308	-378	488	219,20	58,24963334	11,33028329	58,24956670	11,33018330
99	18	12	10	11	15	18	03		11	103																																												52	-4																																												44	45																																												5	-22																																												53	103																																												11,90	92,20																																												619	-109	-550	561	191,20	58,24955002	11,33018330	58,24946671	11,33015002
